iso_8601,seconds_in_day,HH,MM,SS,bucket
00:05:40,340,00,05,40,EARLY MORNING
00:05:41,341,00,05,41,EARLY MORNING
00:05:42,342,00,05,42,EARLY MORNING
00:05:43,343,00,05,43,EARLY MORNING
00:05:44,344,00,05,44,EARLY MORNING
00:05:45,345,00,05,45,EARLY MORNING
00:05:46,346,00,05,46,EARLY MORNING
00:05:47,347,00,05,47,EARLY MORNING
00:05:48,348,00,05,48,EARLY MORNING
00:05:49,349,00,05,49,EARLY MORNING
00:05:50,350,00,05,50,EARLY MORNING
00:05:51,351,00,05,51,EARLY MORNING
00:05:52,352,00,05,52,EARLY MORNING
00:05:53,353,00,05,53,EARLY MORNING
00:05:54,354,00,05,54,EARLY MORNING
00:05:55,355,00,05,55,EARLY MORNING
00:05:56,356,00,05,56,EARLY MORNING
00:05:57,357,00,05,57,EARLY MORNING
00:05:58,358,00,05,58,EARLY MORNING
00:05:59,359,00,05,59,EARLY MORNING
00:06:00,360,00,06,00,EARLY MORNING
00:06:01,361,00,06,01,EARLY MORNING
00:06:02,362,00,06,02,EARLY MORNING
00:06:03,363,00,06,03,EARLY MORNING
00:06:04,364,00,06,04,EARLY MORNING
00:06:05,365,00,06,05,EARLY MORNING
00:06:06,366,00,06,06,EARLY MORNING
00:06:07,367,00,06,07,EARLY MORNING
00:06:08,368,00,06,08,EARLY MORNING
00:06:09,369,00,06,09,EARLY MORNING
00:06:10,370,00,06,10,EARLY MORNING
00:06:11,371,00,06,11,EARLY MORNING
00:06:12,372,00,06,12,EARLY MORNING
00:06:13,373,00,06,13,EARLY MORNING
00:06:14,374,00,06,14,EARLY MORNING
00:06:15,375,00,06,15,EARLY MORNING
00:06:16,376,00,06,16,EARLY MORNING
00:06:17,377,00,06,17,EARLY MORNING
00:06:18,378,00,06,18,EARLY MORNING
00:06:19,379,00,06,19,EARLY MORNING
00:06:20,380,00,06,20,EARLY MORNING
00:06:21,381,00,06,21,EARLY MORNING
00:06:22,382,00,06,22,EARLY MORNING
00:06:23,383,00,06,23,EARLY MORNING
00:06:24,384,00,06,24,EARLY MORNING
00:06:25,385,00,06,25,EARLY MORNING
00:06:26,386,00,06,26,EARLY MORNING
00:06:27,387,00,06,27,EARLY MORNING
00:06:28,388,00,06,28,EARLY MORNING
00:06:29,389,00,06,29,EARLY MORNING
00:06:30,390,00,06,30,EARLY MORNING
00:06:31,391,00,06,31,EARLY MORNING
00:06:32,392,00,06,32,EARLY MORNING
00:06:33,393,00,06,33,EARLY MORNING
00:06:34,394,00,06,34,EARLY MORNING
00:06:35,395,00,06,35,EARLY MORNING
00:06:36,396,00,06,36,EARLY MORNING
00:06:37,397,00,06,37,EARLY MORNING
00:06:38,398,00,06,38,EARLY MORNING
00:06:39,399,00,06,39,EARLY MORNING
00:06:40,400,00,06,40,EARLY MORNING
00:06:41,401,00,06,41,EARLY MORNING
00:06:42,402,00,06,42,EARLY MORNING
00:06:43,403,00,06,43,EARLY MORNING
00:06:44,404,00,06,44,EARLY MORNING
00:06:45,405,00,06,45,EARLY MORNING
00:06:46,406,00,06,46,EARLY MORNING
00:06:47,407,00,06,47,EARLY MORNING
00:06:48,408,00,06,48,EARLY MORNING
00:06:49,409,00,06,49,EARLY MORNING
00:06:50,410,00,06,50,EARLY MORNING
00:06:51,411,00,06,51,EARLY MORNING
00:06:52,412,00,06,52,EARLY MORNING
00:06:53,413,00,06,53,EARLY MORNING
00:06:54,414,00,06,54,EARLY MORNING
00:06:55,415,00,06,55,EARLY MORNING
00:06:56,416,00,06,56,EARLY MORNING
00:06:57,417,00,06,57,EARLY MORNING
00:06:58,418,00,06,58,EARLY MORNING
00:06:59,419,00,06,59,EARLY MORNING
00:07:00,420,00,07,00,EARLY MORNING
00:07:01,421,00,07,01,EARLY MORNING
00:07:02,422,00,07,02,EARLY MORNING
00:07:03,423,00,07,03,EARLY MORNING
00:07:04,424,00,07,04,EARLY MORNING
00:07:05,425,00,07,05,EARLY MORNING
00:07:06,426,00,07,06,EARLY MORNING
00:07:07,427,00,07,07,EARLY MORNING
00:07:08,428,00,07,08,EARLY MORNING
00:07:09,429,00,07,09,EARLY MORNING
00:07:10,430,00,07,10,EARLY MORNING
00:07:11,431,00,07,11,EARLY MORNING
00:07:12,432,00,07,12,EARLY MORNING
00:07:13,433,00,07,13,EARLY MORNING
00:07:14,434,00,07,14,EARLY MORNING
00:07:15,435,00,07,15,EARLY MORNING
00:07:16,436,00,07,16,EARLY MORNING
00:07:17,437,00,07,17,EARLY MORNING
00:07:18,438,00,07,18,EARLY MORNING
00:07:19,439,00,07,19,EARLY MORNING
00:07:20,440,00,07,20,EARLY MORNING
00:07:21,441,00,07,21,EARLY MORNING
00:07:22,442,00,07,22,EARLY MORNING
00:07:23,443,00,07,23,EARLY MORNING
00:07:24,444,00,07,24,EARLY MORNING
00:07:25,445,00,07,25,EARLY MORNING
00:07:26,446,00,07,26,EARLY MORNING
